State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,State,Land Area (sq mi),,2016 Population Density (persons/square mile),2017 Population Density (persons/square mile),2018 Population Density (persons/square mile),2019 Population Density (persons/square mile)
.Alabama,4785437.00,4799069.00,4815588.00,4830081.00,4841799.00,4852347.00,4863525.00,4874486.00,4887681.00,4903185.00,,Alabama,"50,645.39",,96.03,96.25,96.51,96.81
.Alaska,713910.00,722128.00,730443.00,737068.00,736283.00,737498.00,741456.00,739700.00,735139.00,731545.00,,Alaska,570640.61,,1.3,1.3,1.29,1.28
.Arizona,6407172.00,6472643.00,6554978.00,6632764.00,6730413.00,6829676.00,6941072.00,7044008.00,7158024.00,7278717.00,,Arizona,"113,593.91",,61.1,62.01,63.01,64.08
.Arkansas,2921964.00,2940667.00,2952164.00,2959400.00,2967392.00,2978048.00,2989918.00,3001345.00,3009733.00,3017804.00,,Arkansas,"52,035.35",,57.46,57.68,57.84,58
.California,37319502.00,37638369.00,37948800.00,38260787.00,38596972.00,38918045.00,39167117.00,39358497.00,39461588.00,39512223.00,,California,"155,779.03",,251.43,252.66,253.32,253.64
.Colorado,5047349.00,5121108.00,5192647.00,5269035.00,5350101.00,5450623.00,5539215.00,5611885.00,5691287.00,5758736.00,,Colorado,"103,641.75",,53.45,54.15,54.91,55.56
.Connecticut,3579114.00,3588283.00,3594547.00,3594841.00,3594524.00,3587122.00,3578141.00,3573297.00,3571520.00,3565287.00,,Connecticut,"4,842.49",,738.91,737.9,737.54,736.25
.Delaware,899593.00,907381.00,915179.00,923576.00,932487.00,941252.00,948921.00,956823.00,965479.00,973764.00,,Delaware,"1,948.66",,486.96,491.02,495.46,499.71
.District of Columbia,605226.00,619800.00,634924.00,650581.00,662328.00,675400.00,685815.00,694906.00,701547.00,705749.00,,District Of Columbia,61,,11242.87,11391.9,11500.77,11569.66
.Florida,18845537.00,19053237.00,19297822.00,19545621.00,19845911.00,20209042.00,20613477.00,20963613.00,21244317.00,21477737.00,,Florida,53624.55,,384.4,390.93,396.17,400.52
.Georgia,9711881.00,9802431.00,9901430.00,9972479.00,10067278.00,10178447.00,10301890.00,10410330.00,10511131.00,10617423.00,,Georgia,"57,513.37",,179.12,181.01,182.76,184.61
.Hawaii,1363963.00,1379329.00,1394804.00,1408243.00,1414538.00,1422052.00,1427559.00,1424393.00,1420593.00,1415872.00,,Hawaii,6422.81,,222.26,221.77,221.18,220.44
.Idaho,1570746.00,1583910.00,1595324.00,1611206.00,1631112.00,1651059.00,1682380.00,1717715.00,1750536.00,1787065.00,,Idaho,"82,643.20",,20.36,20.78,21.18,21.62
.Illinois,12840503.00,12867454.00,12882510.00,12895129.00,12884493.00,12858913.00,12820527.00,12778828.00,12723071.00,12671821.00,,Illinois,"55,518.76",,230.92,230.17,229.17,228.24
.Indiana,6490432.00,6516528.00,6537703.00,6568713.00,6593644.00,6608422.00,6634304.00,6658078.00,6695497.00,6732219.00,,Indiana,"35,826.02",,185.18,185.84,186.89,187.91
.Iowa,3050745.00,3066336.00,3076190.00,3092997.00,3109350.00,3120960.00,3131371.00,3141550.00,3148618.00,3155070.00,,Iowa,"55,856.99",,56.06,56.24,56.37,56.48
.Kansas,2858190.00,2869225.00,2885257.00,2893212.00,2900475.00,2909011.00,2910844.00,2908718.00,2911359.00,2913314.00,,Kansas,"81,758.64",,35.6,35.58,35.61,35.63
.Kentucky,4348181.00,4369821.00,4386346.00,4404659.00,4414349.00,4425976.00,4438182.00,4452268.00,4461153.00,4467673.00,,Kentucky,"39,486.27",,112.4,112.75,112.98,113.14
.Louisiana,4544532.00,4575625.00,4600972.00,4624527.00,4644013.00,4664628.00,4678135.00,4670560.00,4659690.00,4648794.00,,Louisiana,"43,204.04",,108.28,108.1,107.85,107.6
.Maine,1327629.00,1328284.00,1327729.00,1328009.00,1330513.00,1328262.00,1331317.00,1334612.00,1339057.00,1344212.00,,Maine,"30,842.99",,43.16,43.27,43.42,43.58
.Maryland,5788645.00,5839419.00,5886992.00,5923188.00,5957283.00,5985562.00,6003323.00,6023868.00,6035802.00,6045680.00,,Maryland,"9,707.38",,618.43,620.55,621.77,622.79
.Massachusetts,6566307.00,6613583.00,6663005.00,6713315.00,6762596.00,6794228.00,6823608.00,6859789.00,6882635.00,6892503.00,,Massachusetts,"7,800.03",,874.82,879.46,882.39,883.65
.Michigan,9877510.00,9882412.00,9897145.00,9913065.00,9929848.00,9931715.00,9950571.00,9973114.00,9984072.00,9986857.00,,Michigan,"56,538.85",,176,176.39,176.59,176.64
.Minnesota,5310828.00,5346143.00,5376643.00,5413479.00,5451079.00,5482032.00,5522744.00,5566230.00,5606249.00,5639632.00,,Minnesota,"79,626.59",,69.36,69.9,70.41,70.83
.Mississippi,2970548.00,2978731.00,2983816.00,2988711.00,2990468.00,2988471.00,2987938.00,2988510.00,2981020.00,2976149.00,,Mississippi,"46,923.36",,63.68,63.69,63.53,63.43
.Missouri,5995974.00,6010275.00,6024367.00,6040715.00,6056202.00,6071732.00,6087135.00,6106670.00,6121623.00,6137428.00,,Missouri,"68,741.60",,88.55,88.84,89.05,89.28
.Montana,990697.00,997316.00,1003783.00,1013569.00,1021869.00,1030475.00,1040859.00,1052482.00,1060665.00,1068778.00,,Montana,"145,545.78",,7.15,7.23,7.29,7.34
