,State_Name,Description,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019
8,Alabama,Real GDP (millions of chained 2012 dollars)  ,189428,191523,193693,198053,200829
16,Alaska,Real GDP (millions of chained 2012 dollars)  ,54015,53289,52825,52928,53255
24,Arizona,Real GDP (millions of chained 2012 dollars)  ,281935,291259,302117,314016,323597
32,Arkansas,Real GDP (millions of chained 2012 dollars)  ,112938,113490,114950,116698,117447
40,California,Real GDP (millions of chained 2012 dollars)  ,2437366,2519133,2628314,2708966,2800505
48,Colorado,Real GDP (millions of chained 2012 dollars)  ,308898,315793,328510,342865,356280
56,Connecticut,Real GDP (millions of chained 2012 dollars)  ,245304,245966,248077,249043,251329
64,Delaware,Real GDP (millions of chained 2012 dollars)  ,66527,62889,61851,63162,64319
80,Florida,Real GDP (millions of chained 2012 dollars)  ,842269,870963,901903,936580,963255
88,Georgia,Real GDP (millions of chained 2012 dollars)  ,484378,500909,519452,538730,547422
96,Hawaii,Real GDP (millions of chained 2012 dollars)  ,77176,79093,81039,82203,82471
104,Idaho,Real GDP (millions of chained 2012 dollars)  ,63235,65643,68412,72455,74937
112,Illinois,Real GDP (millions of chained 2012 dollars)  ,747666,746370,752459,769631,773135
120,Indiana,Real GDP (millions of chained 2012 dollars)  ,311850,316545,322969,332156,337636
128,Iowa,Real GDP (millions of chained 2012 dollars)  ,170545,169488,168976,172844,173515
136,Kansas,Real GDP (millions of chained 2012 dollars)  ,147929,152511,154456,158192,160059
144,Kentucky,Real GDP (millions of chained 2012 dollars)  ,182487,183454,184600,187507,190811
152,Louisiana,Real GDP (millions of chained 2012 dollars)  ,230434,225361,228819,235021,239967
160,Maine,Real GDP (millions of chained 2012 dollars)  ,53879,55088,55964,57302,58793
168,Maryland,Real GDP (millions of chained 2012 dollars)  ,349146,359987,365857,368810,374039
176,Massachusetts,Real GDP (millions of chained 2012 dollars)  ,471979,479184,490874,507806,519961
184,Michigan,Real GDP (millions of chained 2012 dollars)  ,442287,451025,457341,467828,471648
192,Minnesota,Real GDP (millions of chained 2012 dollars)  ,316863,321980,327667,337215,341041
200,Mississippi,Real GDP (millions of chained 2012 dollars)  ,100013,100412,101071,102061,102656
208,Missouri,Real GDP (millions of chained 2012 dollars)  ,276316,276210,279264,284696,287659
216,Montana,Real GDP (millions of chained 2012 dollars)  ,45042,44580,45480,46627,47916
224,Nebraska,Real GDP (millions of chained 2012 dollars)  ,110752,111611,113754,115087,117395
232,Nevada,Real GDP (millions of chained 2012 dollars)  ,134892,138638,143590,149663,153728
240,New Hampshire,Real GDP (millions of chained 2012 dollars)  ,71419,73022,74253,76165,77240
248,New Jersey,Real GDP (millions of chained 2012 dollars)  ,535284,540380,540656,549000,556731
256,New Mexico,Real GDP (millions of chained 2012 dollars)  ,91679,91713,91772,93870,98765
264,New York,Real GDP (millions of chained 2012 dollars)  ,1372232,1397723,1424905,1467076,1490678
272,North Carolina,Real GDP (millions of chained 2012 dollars)  ,469535,477523,489026,501955,511539
280,North Dakota,Real GDP (millions of chained 2012 dollars)  ,55067,51137,51291,53472,53930
288,Ohio,Real GDP (millions of chained 2012 dollars)  ,579943,585044,592725,606141,615474
296,Oklahoma,Real GDP (millions of chained 2012 dollars)  ,193237,188063,188157,193204,197900
304,Oregon,Real GDP (millions of chained 2012 dollars)  ,191864,201059,209581,219279,225336
312,Pennsylvania,Real GDP (millions of chained 2012 dollars)  ,682527,691316,695560,708856,726165
320,Rhode Island,Real GDP (millions of chained 2012 dollars)  ,52957,53030,52727,53135,53668
328,South Carolina,Real GDP (millions of chained 2012 dollars)  ,190294,196477,202644,209012,214933
336,South Dakota,Real GDP (millions of chained 2012 dollars)  ,45371,45733,46023,47287,47559
344,Tennessee,Real GDP (millions of chained 2012 dollars)  ,302970,308157,314849,323316,328406
352,Texas,Real GDP (millions of chained 2012 dollars)  ,1595969,1606579,1651329,1715231,1764357
360,Utah,Real GDP (millions of chained 2012 dollars)  ,141602,147555,153986,162574,168792
368,Vermont,Real GDP (millions of chained 2012 dollars)  ,28876,29206,29312,29565,29806
376,Virginia,Real GDP (millions of chained 2012 dollars)  ,455830,460185,468125,478835,489168
384,Washington,Real GDP (millions of chained 2012 dollars)  ,446628,463974,489435,524486,548686
392,West Virginia,Real GDP (millions of chained 2012 dollars)  ,70332,69276,69743,71858,72340
400,Wisconsin,Real GDP (millions of chained 2012 dollars)  ,288260,291320,294151,303767,308044
408,Wyoming,Real GDP (millions of chained 2012 dollars)  ,39899,38079,37866,38696,39214
