,State,Year,total_pop,Uninsured_%,PC_Income,GDP,Flu_%
0,Alabama,2016.0,4863525.0,9.1,39536.0,191523,0.237399828
1,Alaska,2016.0,741456.0,14.0,56302.0,53289,0.143366565
2,Arizona,2016.0,6941072.0,10.0,40801.0,291259,0.322226884
3,Arkansas,2016.0,2989918.0,7.9,40385.0,113490,0.096424049
4,California,2016.0,39167117.0,7.3,58048.0,2519133,0.112745087
5,Colorado,2016.0,5539215.0,7.5,52475.0,315793,0.030780535
6,Connecticut,2016.0,3578141.0,4.9,69919.0,245966,0.094155037
7,Delaware,2016.0,948921.0,5.7,48836.0,62889,0.043839266
8,Florida,2016.0,20613477.0,12.5,46073.0,870963,0.055226006
9,Georgia,2016.0,10301890.0,12.9,42896.0,500909,0.424601699
10,Hawaii,2016.0,1427559.0,3.5,51170.0,79093,0.1377176
11,Idaho,2016.0,1682380.0,10.1,40567.0,65643,0.056110986
12,Illinois,2016.0,12820527.0,6.5,52417.0,746370,0.346764216
13,Indiana,2016.0,6634304.0,8.1,43672.0,316545,0.050676002
14,Iowa,2016.0,3131371.0,4.3,46547.0,169488,0.013987483
15,Kansas,2016.0,2910844.0,8.7,47390.0,152511,0.128485072
16,Kentucky,2016.0,4438182.0,5.1,39754.0,183454,0.203957386
17,Louisiana,2016.0,4678135.0,10.3,42528.0,225361,1.029106685
18,Maine,2016.0,1331317.0,8.0,44832.0,55088,0.16547524
19,Maryland,2016.0,6003323.0,6.1,59011.0,359987,0.101177298
20,Massachusetts,2016.0,6823608.0,2.5,65725.0,479184,0.171478197
21,Michigan,2016.0,9950571.0,5.4,44637.0,451025,0.128123301
22,Minnesota,2016.0,5522744.0,4.1,53083.0,321980,0.050047585
23,Mississippi,2016.0,2987938.0,11.8,35672.0,100412,0.838973232
24,Missouri,2016.0,6087135.0,8.9,44318.0,276210,0.079298389
25,Montana,2016.0,1040859.0,8.1,44024.0,44580,0.031032061
26,Nebraska,2016.0,1905616.0,8.6,49615.0,111611,0.041666317
27,Nevada,2016.0,2917563.0,11.4,45351.0,138638,0.231083271
28,New Hampshire,2016.0,1342307.0,5.9,56513.0,73022,0.07375362
